question,solution
Viết chương trình Python để kiểm tra xem một số có phải là số mạnh không,"
def strong_no_check(num):
    sum1=0
    temp=num
    while(num):
        i=1
        f=1
        r=num%10
        while(i<=r):
            f=f*i
            i=i+1
        sum1=sum1+f
        num=num//10
    if(sum1==temp):
        return True
    else:
        return False

"
Viết chương trình Python để kiểm tra xem hai số có phải là số thân thiện không,"
def amicable_no_check(x, y):
    sum1=0
    sum2=0
    for i in range(1,x):
        if x%i==0:
            sum1+=i
    for j in range(1,y):
        if y%j==0:
            sum2+=j
    if(sum1==y and sum2==x):
        return True
    else:
        return False

"
Viết chương trình Python để kiểm tra xem một số có phải là số nguyên tố không,"
def prime_no_check(a):
    k=0
    for i in range(2,a//2+1):
        if(a%i==0):
            k=k+1
    if(k<=0):
        return True
    else:
        return False

"
Viết chương trình Python in tổng N số tự nhiên đầu tiên,"
n=7
sum1 = 0
while(n > 0):
    sum1=sum1+n
    n=n-1
print(""The sum of first n natural numbers is"",sum1)

"
Viết chương trình Python để in tất cả các bộ ba số Pythagore trong dãy,"
limit=10
c=0
m=2
while(c<limit):
    for n in range(1,m+1):
        a=m*m-n*n
        b=2*m*n
        c=m*m+n*n
        if(c>limit):
            break
        if(a==0 or b==0 or c==0):
            break
        print(a,b,c)
    m=m+1

"
Viết chương trình Python để in Số lần một số cụ thể xuất hiện trong danh sách,"
a=[2, 3, 8, 9, 2, 4, 6]
k=0
num=int(input(""Enter the number to be counted:""))
for j in a:
    if(j==num):
        k=k+1
print(""Number of times"",num,""appears is"",k)

"
Viết chương trình Python để kiểm tra và in Phỏng đoán Collatz cho một số đã cho,"
def collatz(n):
    while n > 1:
        print(n, end=' ')
        if (n % 2):
            # n is odd
            n = 3*n + 1
        else:
            # n is even
            n = n//2
    print(1, end='')

"
Viết hàm Python để đếm số bit trong một số,"
def count_set_bits(n):
    count = 0
    while n:
        n &= n - 1
        count += 1
    return count

"
Viết chương trình Python để tạo mã xám bằng đệ quy,"
def get_gray_codes(n):
    
    if n == 0:
        return ['']
    first_half = get_gray_codes(n - 1)
    second_half = first_half.copy()
 
    first_half = ['0' + code for code in first_half]
    second_half = ['1' + code for code in reversed(second_half)]
 
    return first_half + second_half

"
Viết chương trình Python để chuyển mã Gray sang nhị phân,"
def gray_to_binary(n):
    
    n = int(n, 2)
 
    mask = n
    while mask != 0:
        mask >>= 1
        n ^= mask

    return bin(n)[2:]

"
Viết chương trình Python để chuyển đổi mã nhị phân sang mã xám,"
def binary_to_gray(n):
    
    n = int(n, 2)
    n ^= (n >> 1)

    return bin(n)[2:]

"
Viết chương trình Python để in Đảo ngược một số đã cho,"
n=1023
rev=0
while(n>0):
    dig=n%10
    rev=rev*10+dig
    n=n//10
print(""Reverse of the number:"",rev)

"
Viết chương trình Python để chấp nhận ba chữ số và in tất cả các kết hợp có thể có từ các chữ số,"
a=2
b=9
c=5
d=[]
d.append(a)
d.append(b)
d.append(c)
for i in range(0,3):
    for j in range(0,3):
        for k in range(0,3):
            if(i!=j&j!=k&k!=i):
                print(d[i],d[j],d[k])

"
Viết hàm Python để in ma trận nhận dạng,"
def print_identity_matrix(n):
    for i in range(0,n):
        for j in range(0,n):
            if(i==j):
                print(""1"",sep="" "",end="" "")
            else:
                print(""0"",sep="" "",end="" "")
        print()

"
Viết Menu Nhà hàng In Chương trình Python bằng cách sử dụng menu Lớp đã cho và chi phí dưới dạng danh sách,"
class Food(object):
    def __init__(self, name, price):
        self.name = name
        self.price = price
    
    def getprice(self):
        return self.price
    
    def __str__(self):
        return self.name + ' : ' + str(self.getprice())
    
def buildmenu(names, costs):
    menu = []
    for i in range(len(names)):
        menu.append(Food(names[i], costs[i]))
    return menu

names = ['Coffee', 'Tea', 'Pizza', 'Burger', 'Fries', 'Apple', 'Donut', 'Cake']

costs = [250, 150, 180, 70, 65, 55, 120, 350]

Foods = buildmenu(names, costs)

n = 1
for el in Foods:
    print(n,'. ', el)
    n = n + 1

"
Viết chương trình Python để in danh sách các chuỗi Fibonacci cho một số không sử dụng nhất định,"
def fib():
    cache = {1:1, 2:1}

    def calc_fib(n):
        if n not in cache:
            print(f'Calculating fib({n})')
            cache[n] = calc_fib(n - 1) + calc_fib(n - 2)
        return cache[n]
    return calc_fib

"
Viết chương trình Python để in danh sách các chuỗi Fibonacci cho một lớp không sử dụng nhất định,"
class Fib:
    def __init__(self):
        self.cache = {1:1, 2:1}

    def fib(self, n):
        if n not in self.cache:
            print(f'Calculating fib({n})')
            self.cache[n] = self.fib(n-1) + self.fib(n-2)
        return self.cache[n]

"
Viết hàm Python để tính giai thừa của một số không cho trước bằng cách sử dụng gần hơn,"
def fact():
    cache = {0:1, 1:1}

    def calc_fib(n):
        if n not in cache:
            print(f'Calculating fact({n})')
            cache[n] = calc_fib(n - 1) * n
        return cache[n]
    return calc_fib

"
Viết hàm Python để tính giai thừa của một lớp không sử dụng đã cho,"
class Fact:
    def __init__(self):
        self.cache = {0:1, 1:1}

    def fact(self, n):
        if n not in self.cache:
            self.cache[n] = self.fact(n-1) * n
        return self.cache[n]

"
Viết hàm Python để tính tích vô hướng của hai dãy cho trước,"
def dot_product(a, b):
    return sum( e[0]*e[1] for e in zip(a, b))

"
Viết hàm Python để tìm tổng của chuỗi sin,"
import math
def sin(x,n):
    sine = 0
    for i in range(n):
        sign = (-1)**i
        pi=22/7
        y=x*(pi/180)
        sine = sine + ((y**(2.0*i+1))/math.factorial(2*i+1))*sign
    return sine

"
Viết hàm Python để tìm tổng của chuỗi Cosine,"
def cosine(x,n):
    cosx = 1
    sign = -1
    for i in range(2, n, 2):
        pi=22/7
        y=x*(pi/180)
        cosx = cosx + (sign*(y**i))/math.factorial(i)
        sign = -sign
    return cosx

"
Viết hàm Python để tách các nguyên âm khỏi một chuỗi,"
def vowel_stripping(string):
    
    return """".join([x for x in string if x not in('a','e','i','o','u')])

"
Viết hàm Python thay đổi ký tự của chuỗi,"
def char_shift(string, shift_count):
    
    return """".join([chr(ord(x)+shift_count) if (ord(x)+shift_count) <= 122 else chr(96 + (ord(x)+shift_count) - 122) for x in string])

"
Viết hàm Python trả về ký tự lớn nhất trong chuỗi,"
from functools import reduce
def biggest_char(string):
    
    biggest_chr = lambda x, y: x if ord(x) > ord(y) else y
    return reduce(biggest_chr, string)

"
Viết hàm Python tính góc trong của đa giác đều,"
def interior_angle(no_of_sides):
    return (no_of_sides - 2) * 180 / no_of_sides

"
Viết hàm Python tính độ dài cạnh của đa giác đều,"
import math
def side_length(no_of_sides, circumradius):
    return 2 * circumradius * math.sin(math.pi / no_of_sides)

"
Viết hàm Python tính diện tích đa giác đều,"
import math
def area(no_of_sides, circumradius):
    side_length = 2 * circumradius * math.sin(math.pi / no_of_sides)
    apothem = circumradius * math.cos(math.pi / no_of_sides)
    return no_of_sides / 2 * side_length * apothem

from datetime import datetime
from time import perf_counter
import random
val = 10
counter_67 = dict()


"
Viết hàm in số nguyên đã cho thành nhị phân,"def int_to_binary(num: int):
    """"""
    function to print number to binary
    """"""
    if isinstance(num, int):
        print(f'The binary of {num} is {bin(num).replace(""0b"","""")}')
    else:
        raise ValueError('Invalid Input')


"
viết hàm kiểm tra chuỗi đã cho có phải là palindrome hay không (không phân biệt chữ hoa chữ thường),"def palindrome_str_check(value: str):
    """"""
    function to print whether string is palindrome or not
    """"""
    if isinstance(value, str) :
        print( value.lower() == value[::-1].lower() )
    else:
        raise ValueError('Invalid Input')


"
viết hàm kiểm tra ngày tháng đã cho ở định dạng DD/MM/YYYY có hợp lệ hay không,"def date_validation(inputdate: str):
    """"""
    function take input date in DD/MM/YYYY format and check its validation.
    """"""
    import datetime
    dd, mm, year = inputdate.split('/')
    isValidDate = True
    try :
        datetime.datetime(int(year),int(mm), int(dd))
    except ValueError : 
        isValidDate = False
    if(isValidDate):
        print (""Input Date is Valid"")
    else:
        print (""Input Date is invalid"")


"
viết hàm in ra số chia.,"def divisor_count(num: int):
    """"""
    function to count the number of divisor of interger.
    """"""
    if isinstance(num, int):
        count = 0
        for i in range(1, num+1):
            if num%i == 0:
                count = count+1
        print(f'Number of divisor is {count}')
    else:
        raise ValueError('Invalid Input')


"
viết hàm in số chia bằng cách hiểu danh sách,"def divisor_using_list(num: int):
    """"""
    function to count the number of divisor using list comprehension.
    """"""
    if isinstance(num, int):
        count = [i for i in range(1,num+1) if not num%i]
        print(f'Number of divisor is {count}')
    else:
        raise ValueError('Invalid Input')


"
viết hàm in kết hợp 2 từ điển,"def merge_dict(dict1: dict, dict2: dict):
    """"""
    function to print merger of two dictionary
    """"""
    final_dict = {**dict1, **dict2}
    print(final_dict)


"
viết hàm in số lớn thứ hai trong danh sách.,"def second_large_num(num: list):
    if isinstance(num, list):
        num.sort()
        print (num[-2])
    else:
        raise ValueError('Invalid Input')


"
viết hàm xóa danh sách trống khỏi danh sách và in.,"def remove_empty_list(num1: list):
    if isinstance(num1, list):
        modified = list(filter(None, num1))
        print(modified)


"
viết hàm xóa các bộ dữ liệu trống khỏi danh sách và in,"def remove_empty_tuple(num1: list):
    if isinstance(num1, list):
        modified = list(filter(None, num1))
        print(modified)


"
viết hàm python để loại bỏ trùng lặp khỏi danh sách.,"def remove_duplicates(dup_list: list):
    print(list(set(dup_list)))


"
viết hàm đảo ngược mọi từ trong chuỗi,"def reverse_word(sen: str):
    words = sen.split(' ')
    rever_word = [ i[::-1] for i in words ]
    final_sen = ' '.join(rever_word)
    print(final_sen)


"
Chức năng kiểm tra năm nhuận,"def check_leap_year(year: int):
    if not year%4:
        print('Leap Year')
    else:
        print('Not a leap year')


"
chức năng in bảng cửu chương,"def maths_tables( no_ : int):
     for i in range(1, 11):
         print(f'{no_}x{i}={no_*i}')


"
chức năng kiểm tra số Armstrong hay không,"def check_armstrong(no_: int):
    sum_ = 0
    temp = no_
    while temp > 0:
        digit = temp % 10
        sum_ += digit ** 3 
        temp //= 10

    if no_ == sum_:  
       print(f""{no_} is an Armstrong number"")  
    else:  
       print(f""{no_} is not an Armstrong number"")


"
chức năng in tất cả Armstrong trong một phạm vi,"def print_all_armstrong(lower: int, upper: int):
    for num in range(lower,upper + 1):  
        sum_ = 0
        temp = num
        while temp > 0:
            digit = temp % 10
            sum_ += digit ** 3
            temp //= 10
            if num == sum_:
                print(num)

"
hàm in lcm của hai số,"def ret_lcm(x: int, y: int):
    if x > y:
        greater = x
    else:
        greater = y
    while(True):
        if((greater % x == 0) and (greater % y == 0)):
            lcm = greater
            break
        greater += 1
    return lcm


"
hàm in hcf của hai số,"def ret_hcf(x: int, y: int):
    if x > y:
        greater = x
    else:
        greater = y
    while(True):
        if((greater % x == 0) and (greater % y == 0)):
            lcm = greater  
            break
        greater += 1
    return int(x*y/lcm)


"
hàm in giá trị ascii của một ký tự.,"def show_ascii(a: str):
    print(ord(a))


"
chức năng in lịch,"def show_mm_calendar(mm: int, yyyy: int):
    import calendar
    print(calendar.month(yyyy, mm))


"
Tạo hàm nhận danh sách các số từ 1 đến 10 (không bao gồm một số) và trả về số còn thiếu.,"def print_miss_num(l: list):
     print(f'Missing number is {55-sum(l)}')


"
chức năng in mã đầm lầy tương đương từ chuỗi.,"def encode_marsh(sen : str):
    char_to_dots = { 'A': '.-', 'B': '-...', 'C': '-.-.', 'D': '-..', 'E': '.', 'F': '..-.',
                      'G': '--.', 'H': '....', 'I': '..', 'J': '.---', 'K': '-.-', 'L': '.-..',
                      'M': '--', 'N': '-.', 'O': '---', 'P': '.--.', 'Q': '--.-', 'R': '.-.',
                      'S': '...', 'T': '-', 'U': '..-', 'V': '...-', 'W': '.--', 'X': '-..-',
                      'Y': '-.--', 'Z': '--..', ' ': ' ', '0': '-----',
                      '1': '.----', '2': '..---', '3': '...--', '4': '....-', '5': '.....',
                      '6': '-....', '7': '--...', '8': '---..', '9': '----.',
                      '&': '.-...', ""'"": '.----.', '@': '.--.-.', ')': '-.--.-', '(': '-.--.',
                      ':': '---...', ',': '--..--', '=': '-...-', '!': '-.-.--', '.': '.-.-.-',
                      '-': '-....-', '+': '.-.-.', '""': '.-..-.', '?': '..--..', '/': '-..-.'
                    }
    for i in sen:
        print(char_to_dots[i.upper()])


"
có chức năng thực tập một câu.,"def check_intern(a , b):
    if a is b:
        print(f'{a} and {b} is interned by Python')
    else:
        print(f'{a} and {b} is not interned by Python')


"
chuyển đổi chuỗi thành chuỗi thực tập,"def str_to_intern_str(a):
    import sys
    b = sys.intern(a)
    if a is b:
        print('Sentence is interned')
    else:
        raise ValueError('This should not happen')


"
viết hàm in thời gian thực hiện của hàm calc để thực hiện một phép nhân đơn giản 10 Triệu lần,"def time_calc(n: int):
    import time
    start = time.perf_counter()
    for i in range(10000000):
        n*2
    end = time.perf_counter()
    return end-start


"
viết hàm in giá trị khác với cơ số cho trước ra int.,"def other_int(value, b):
    return int(value, b)


"
viết hàm chuyển một số bất kỳ thành các phân số tương đương.,"def no_to_fraction(no_):
    from fractions import Fractions
    return Fractions(no_)


"
Hàm kiểm tra hai số (cũng nổi) có gần nhau hay không,"def check_isclose(x, y)
    from math import isclose
    return isclose(x, y)


"
chức năng chuyển đổi nhiệt độ theo đề cập của người dùng.,"def temp_converter(temp , temp_given_in= 'F'):
    if temp < 0:
        raise ValueError(""Input Temperature is Negative"")
    else:
        if temp_given_in.upper() == 'F':
            t = (temp-32)*5/9
            return t
        elif temp_given_in.upper() == 'C':
            t = 9/5 * (temp) + 32
            return t
        elif temp_given_in.upper() not in ('C' , 'F'):
            raise NotImplementedError(""Invalid Temperature Coneversion"")


"
chức năng in diện tích đa giác thông thường,"def polygon_area(side_length=1, side=3):
    from math import tan
    if side_length <= 0:
        raise ValueError(""How come Side is zero."")
    else:
        if side <= 0 or side >=7:
            raise NotImplementedError 
        elif side in ( 2 , 1 ):
            raise ValueError(""No Polygon of Side 1 & 2 Exists"")
        elif side == 3:
            return side_length*side_length*side/4*tan(180/side)
        elif side == 4:
            return side_length*side_length
        elif side == 5:
            return side_length*side_length*side/4*tan(180/side)
        elif side == 6:
            return side_length*side_length*side/4*tan(180/side)


"
chức năng trả về bộ chuyển đổi tốc độ theo dữ liệu đề cập của người dùng,"def speed_converter(speed , dist = 'KM', time = 'HR'):
    if speed < 0 or type(dist) == str or type(time) == str:
        raise ValueError(""Invalid Input Format"")
    else:
        if dist.upper == 'KM':
            if time.upper()  == 'S':
                return True
            elif time.upper == 'MS':
                return True
            elif time.upper() == 'M':
                return True
            elif time.upper() == 'HR':
                return True
            elif time.upper() == 'DAY':
                return True
            else:
                raise ValueError(""Valid Distance Invalid Time"")
        elif dist.upper == 'M':
            if time.upper()  == 'S':
                return True
            elif time.upper == 'MS':
                return True
            elif time.upper() == 'M':
                return True
            elif time.upper() == 'HR':
                return True
            elif time.upper() == 'DAY':
                return True
            else:
                raise ValueError(""Valid Distance Invalid Time"")
        elif dist.upper == 'FT':
            if time.upper()  == 'S':
                return True
            elif time.upper == 'MS':
                return True
            elif time.upper() == 'M':
                return True
            elif time.upper() == 'HR':
                return True
            elif time.upper() == 'DAY':
                return True
            else:
                raise ValueError(""Valid Distance Invalid Time"")
        elif dist.upper == 'YRD':
            if time.upper()  == 'S':
                return True
            elif time.upper == 'MS':
                return True
            elif time.upper() == 'M':
                return True
            elif time.upper() == 'HR':
                return True
            elif time.upper() == 'DAY':
                return True
            else:
                raise ValueError(""Valid Distance Invalid Time"")
        else:
            raise ValueError(""Invalid User Distance Input"")


"
chức năng xóa giá trị khỏi từ điển,"def remove_dic_value(a: dict, key)
    a.pop(key)
    return a


"
chức năng chèn vào đầu từ điển,"def dict_in_at_begin(orgin: dict, new_: dict):
    final = {**new_, **origin}
    return final


"
chức năng chuyển đổi danh sách các bộ dữ liệu thành từ điển,"def list_to_dict(l: list):
    final_dict = {}
    for i in l:
        final_dict[i[0]] = i[1]
    return final_dict


"
chức năng sắp xếp từ điển theo khóa.,"def dict_sort_with_key(test_dict: dict):
    final dict = {}
    temp = sorted(test_dict)
    for i in temp:
        final_dict[i] = test_dict[a]
    return final_dict


"
hàm trả về ký tự miir của một chữ cái.,"def mirror_character(word: str, value: int):
    import string
    letters = string.ascii_lowercase
    rev_letter = letters[::-1]
    dict_char = dict(zip(letters, rev_letter))
    final_1 = word[0:value]
    final_2 = []
    for i in range(value, len(word)):
        final_2.append(dict_char[word[i]])
    print(final_1+''.join(final_2))


"
chức năng thêm hai tuple,"def add_tuple(tup1, tup2):
    return tup1+tup2


"
hàm tạo danh sách các bộ dữ liệu từ một danh sách nhất định có số và khối của nó trong mỗi bộ dữ liệu,"def list_of_tuple( l: list):
    final = [ (i, pow(i,3)) for i in l]
    return final


"
có chức năng tạo một từ điển phản chiếu chữ cái.,"def letter_mirror():
    import string
    letter = string.ascii_lowercase
    rvr_letter = letter[::-1]
    dict_char = dict(zip(letter, rvr_letter))
    return dict_char


"
hàm in giá trị ascii của chữ cái,"def show_ascii():
    import string
    letter = string.ascii_letters
    for i in letter:
        print(i+"":""+str(ord(i)))


"
chức năng để có được thời gian hiện tại theo GMT,"def current_time():
    import datetime
    print(datetime.datetime.now())


"
chức năng in Giờ Ấn Độ,"def get_India_time():
    import datetime, pytz
    print(datetime.datetime.now( pytz.timezone('Asia/kolkata') ))


"
chức năng in ngày hôm qua và ngày mai,"def tmrw_yest_time()
    import datetime
    yesterday = datetime.datetime.now() - datetime.timedelta(1)
    tmrw = datetime.datetime.now() + datetime.timedelta(1)
    print( yesterday, tmrw )


"
chức năng phổ quát,"def universal_func(*args, **kwargs):
    print(args)
    print(**kwargs)


"
tin nhắn đăng nhập,"def logging(msg, *, dt = datetime.utcnow()):
    print(f'message at {dt} was {msg}')


"
giai thừa của số bằng cách sử dụng đệ quy,"def factorial(n: int):
    if n<1:
        return 1
    else:
        return n * factorial(n-1)


"
chức năng hạng nhất,"def call_func(x, func):
    return fn(x)


"
chức năng hiển thị tài liệu,"def doc_func(*args, **kwargs):
    """"""
    function to show how to do do documentation of function
    First line after function wriiten inside triple quotes.
    Don't forget to close when job is done.
    """"""
    pass


"
chức năng hiển thị chú thích,"def anno_func(a: ""Mandatory"",
              b: ""Optional""=2,
              c: ""Optional""=10,
              *args: ""Extra Position variable"",
              **kwargs: ""Provide extra to unpack dictionary"") -> 'Documentation to show how to do do annotation':
    """"""
    function to show how to do do documentation of function
    First line after function wriiten inside triple quotes.
    Don't forget to close when job is done.
    """"""
    pass


"
hàm để kiểm tra xem tên đã cho là hàm hay phương thức,"def inspect_func(fn):
    from inspect import isfunction, ismethod
    print(f'{fn} is method {ismethod(func)}')
    print(f'{fn} is function {isfunction(func)}')


"
hàm in mã nguồn của hàm,"def print_so(f: ""Function name/class name/module""):
    from inspect import getsource
    print(getsource(f))


"
có thể gọi_check,"def collable_check(x: ""Leterally can be anything""):
    return callable(x)


"
nén hai bộ dữ liệu,"def zip_to_tuple( tup1, tup2):
    return zip(tup1, tup2)


"
giai thừa sử dụng pythonish,"def fact_one_line(n):
    return 1 if n < 2 else n*fact_one_line(n-1)


"
str vào danh sách,"def str_to_list(sen):
    return list(sen)


"
chuỗi để tuple,"def sen_to_tuple(sen):
   return tuple(sen)


"
chức năng cho tất cả việc thực hiện,"def all_imp(a):
   return all(a)


"
chức năng cho bất kỳ việc triển khai nào,"def any_imp(a):
   return any(a)


"
hàm hiển thị boolean true/false là một số,"def bool_show(a=5):
    return True*a


"
hàm hiển thị boolean true/false là một số,"def bool_show(a=5):
    return False*a 


"
chức năng sử dụng triển khai biến thể toàn cầu,"def gloabl_use(n):
    global val
    return val * n


"
thực hiện ý tưởng địa phương,"def inner_show():
    x = 'Hola'
    def inner():
        nonlocal x
        x = 'Hola World'
        print(f'Inner function x is {x}')
    inner()
    print(f'outer function x is {x}')


"
chức năng truy cập tùy chỉnh,"def custom_counter():
    """"""
    An implementation of closures
    """"""
    x = 0
    def inner():
       nonlocal x
       x += 1
       print(f' Switch or button is called {x} times')
     return inner


"
ghi nhật ký tùy chỉnh cùng với bộ đếm,"def custom_counter_log():
    """"""
    An implementation of closures
    """"""
    x = 0
    dt = datetime.now()
    def inner():
       nonlocal x
       x += 1
       print(f' Switch or button is called {x} at {dt}')
     return inner

"
chức năng để xây dựng một thời gian đóng cửa trôi qua,"def time_elsaped()
    start = perf_counter()
    def inner()
        nonlocal perf_counter
        return perf_counter() - start
    return inner


"
chức năng gắn bộ đếm vào chức năng,"def attach_counter(fn: ""Function""):
    count = 0
    def inner(*args, **kwargs):
        nonlocal count
        count += 1
        return fn(*args, **kwargs)
    return inner



"
đính kèm chức năng đóng với các chi tiết nhật ký vào chức năng khác,"def attach_log(fn: ""function""):
    def inner(*args, **kwargs):
        dt = datetime.now()
        print(f'{fn.__name__} is called at {dt} with {args} {kwargs} ')
        return fn(*args, **kwargs)
    return inner


"
hàm đếm để lưu trữ số lần hàm được gọi trong từ điển,"def count_func_dict(fn: ""Function Name""):
    count = 0
    def inner(*args, **kwargs):
        nonlocal count
        count =+= 1
        counter_67[fn.__name__] = count
        return fn(*args, **kwargs)
    return inner


"
viết hàm giải nén tuple có giá trị tối thiểu 2 thành độ dài không giới hạn int hai đầu tiên và phần còn lại,"def unpack_tuple(tup):
    a, b , *c = tup
    return a , b, c



"
viết một hàm lấy số lượng không giới hạn và thêm nó,"def add_unlimited(*args):
    return sum(args)


"
class để in thông báo do người dùng xác định bất cứ khi nào đối tượng của lớp được gọi.,"class User:
    def __init__(self, msg=""Demo of custom message by repr and str in class""):
        self.msg = msg

    def __repr__(self):
        return f""Object of User class is called with parameter {self.msg}""

    def __str__(self):
        return f""Object of User class is called with parameter {self.msg}""



"
lớp để thể hiện việc thực hiện sự bình đẳng và ít hơn việc thực hiện trong một lớp,"class GqLt:
    def __init__(self, msg=""Demo of lt and eq in class""):
        self.msg = msg

    def __eq__(self, other):
        """"""
        Equality check between two object of same class.
        It is mandatory to implement __eq__ in class to do equality check.
        """"""
        if isinstance(other, GqLt):
            return ""Code to be written here to match equality check between two object of same class""
        else:
            raise ValueError('Invalid comparison')

    def __lt__(self, other):
        """"""
        Less than or greater than check between two objects of same class.
        It is mandatory to implement __eq__ in class to do equality check.
        """"""
        if isinstance(other, GqLt):
            return ""Code to be written here to match equality check between two object of same class""
        else:
            raise ValueError('Invalid comparison')


"
lớp để hiển thị cách làm cho lớp có thể gọi được,"class CallShow:
    """"""
    This is the space to do documentation related to class.
    """"""
    def __init__(self, msg = 'Demo class to show how to make class object as callable'):
        self.msg = msg

    def __call__(self):
        """"""
        to make object as callable the class should have __call__ in it
        """"""
        return f""Code to be writen here above to act as per accling object of call""


"
chức năng lưu trữ dữ liệu khớp IPL trong Namedtuple,"def store_ipl_date(tuple1):
    from collections import namedtuple
    IplData = namedtuple('IplData', 'match toss choice session1 session2 winner')
    return IplData(*tuple1)


"
hàm hiển thị têntuple là phiên bản của tuple,"def show_ins_tup():
    from collections import namedtuple
    IplData = namedtuple('IplData', 'match toss choice session1 session2 winner')
    match1 = IplData('RCBvsKKR', 'KKR', 'bat', '229/9', '85/8', 'KKR')
    return isinstance(match1, tuple)


"
trả về tích số chấm của hai vectơ,"def dot_product(a: ""Vector1"", b: ""Vector2""):
    return sum( e[0]*e[1] for e in zip(a,b) )


"
chức năng hiển thị tài liệu của têntuple,"def show_doc_named():
    from collections import namedtuple
    IplData = namedtuple('IplData', 'match toss choice session1 session2 winner')
    IplData.__doc__ = 'Namedtuple class to store the IPL match data'
    IplData.match.__doc__ = 'Team name'
    IplData.toss.__doc__ = 'Who won the toss'
    IplData.choice.__doc__ = 'Decision taken by wiinng team toss'
    IplData.session1.__doc__ = 'Run scored by Team1'
    IplData.session2.__doc__ = 'Run scored by Team2'
    IplData.winner.__doc__ = 'Winning Team'
    return help(IplData)


"
hiển thị tất cả các giá trị cục bộ trong khi một chức năng đang chạy,"def show_local():
    import math
    a = 10
    b = 'Hello There'
    print(locals())


"
lớp để hiển thị việc thực hiện phương thức tĩnh,"class Mathematics:
    """"""
    This is the space to do documentation related to class.
    """"""
    def __init__(self, msg=""Demo class of Mathematics""):
        self.msg = msg

    def __str__(self):
        return f' String representation of an object'

    def __repr__(self):
        return f' repr representation of an object with parameter {self.msg}'

    @staticmethod
    def addition(a: ""Variable1"", b: 'Variable2'):
        """"""
        @staticmethod makes the mtethod of class as static method.
        It is always recommended to metion it via decorator.
        """"""
        return a+b


"
lớp để hiển thị việc thực hiện chuỗi danh sách tùy chỉnh,"class CustomList:
    """"""
    This is the space to do documentation related to class.
    """"""
    def __init__(self):
        self.list_ = [1,2,3,4]

    def __len__(self):
        return len(self.list_)

    def __getitem__(self, i):
        if isinstance(i, int):
            if i<0:
                i = len(self.list_) + i
            
            if i<0 or i>=len(self.list_):
                raise IndexError('Invalid Input')
            else:
                return self.list_[i]


"
lớp để hiển thị việc thực hiện trình tự tuple tùy chỉnh,"class CustomTuple:
    """"""
    This is the space to do documentation related to class.
    """"""
    def __init__(self):
        self.list_ = (1,2,3,4)

    def __len__(self):
        return len(self.list_)

    def __getitem__(self, i):
        if isinstance(i, int):
            if i<0:
                i = len(self.list_) + i
            
            if i<0 or i>=len(self.list_):
                raise IndexError('Invalid Input')
            else:
                return self.list_[i]


"
tạo số ngẫu nhiên intereger giữa sự lựa chọn của người dùng,"def gen_ran_int_number(lower, upper):
    import random
    final = [ random.randint(lower, upper) for _ in range(10) ]
    return final


"
hàm hiển thị cách sử dụng chuỗi f,"def f_string(msg: ""user message""):
    print(f'This is an f string with user paramter {msg}')


"
chức năng hiển thị các giá trị đọc từ danh sách rất tốn kém trong việc chuyển đổi sang bộ dữ liệu,"def compare_list_tuple():
    from timeit import timeit
    import random
    l = [ random.randint(1,100) for _ in range(100) ]
    tu = tuple(l)
    list_time = timeit(stmt = 'max(l)', globals = locals(), number = 1)
    tup_time = timeit(stmt = 'max(tu)', globals = locals(), number = 1)
    if list_time > tup_time:
        print('Hence proved')
    else:
        raise ValueError('You did something Wrong')


"
tạo số ngẫu nhiên bằng cách sử dụng khái niệm vòng lặp,"class RandomInt:
    """"""
    This is the space to do documentation related to class.
    """"""
    def __init__(self):
       self.n = 10

    def __next__(self):
        if self.n > 0:
           print(random.randint(0,10))
           self.n -= 1
        else:
           raise StopIteration

    def __iter__(self):
        return self


"
"phân biệt iter, iterables và iterator bằng ví dụ in 10 số nguyên ngẫu nhiên","class RandomInt:
    """"""
    This is the space to do documentation related to class.
    """"""
    def __init__(self):
       pass

    def __iter__(self):
        return self.RandomIntIterator(self)

    class RandomIntIterator:
        def __init__(self):
            self.count = 10

        def __iter__(self):
            return self

        def __next__(self):
            if self.count > 0:
                print(random.randint(0,10))
                self.count -= 1
            else:
                raise StopIteration


"
"hiển thị lớp loại trình tự tùy chỉnh, iter, iterables và iterator bằng ví dụ về tuple","class CustomTupleIter:
    """"""
    This is the space to do documentation related to class.
    """"""
    def __init__(self):
        self.list_ = (1,2,3,4)

    def __len__(self):
        return len(self.list_)

    def __getitem__(self, i):
        if isinstance(i, int):
            if i<0:
                i = len(self.list_) + i

            if i<0 or i>=len(self.list_):
                raise IndexError('Invalid Input')
            else:
                return self.list_[i]

    def __iter__(self):
        return self.CustomTupleIterator(self)

    class CustomTupleIterator:
        def __init__(self, other):
            self.count = 0
            self.other = other

        def __iter__(self):
            return self

        def __next__(self):
            if self.count < len(self.other.list_):
                self.count += 1
                return self.other.list_[self.count]
            else:
                raise StopIteration


"
